_id/$oid,ID,OrgstructureID,E_COMPANY,E_BRANCH,E_UNIT,E_DIVISION,E_DEPARTMENT,E_TEAM,E_SECTION,E_COMPANY_CODE,E_BRANCH_CODE,E_UNIT_CODE,E_DIVISION_CODE,E_DEPARTMENT_CODE,E_TEAM_CODE,E_SECTION_CODE,SortID
5f0578fddc89b71bdcd059ab,f2588d9b-2ebf-4598-b9fb-002bd3ffd02b,d68cc0e9-df7c-41c9-9749-de2e901f3bd3,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy Wash Phong Phú,Bộ phận HCNS - Kế Toán,Hành chánh nhân sự,,PPG,,PPJ,FC_280000,280200,280201,,3700723
5f0578fddc89b71bdcd059ac,17c3cf2b-30fe-4ab5-8356-0032dad0d8e2,7abcc41b-34e6-4b35-a514-c0f4bef240d0,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Chuyền may,,,PPG,,PPJ,FC_410000,411000,,,3700502
5f0578fddc89b71bdcd059ad,a97a6767-b67a-4bab-a0db-004a3a30dec7,1afcf3cb-dc0a-4696-ae92-57679750fca1,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh thành phố Đà Nẵng - Công ty CPQT Phong Phú,Văn phòng Chi nhánh Đà Nẵng,,,PPG,,PPJ,340000,390001,,,3699705
5f0578fddc89b71bdcd059ae,20753f01-bf9e-4b89-95c2-007e0cfee24b,e190e38e-ba4e-4469-b487-43816fad2a31,PHONG PHÚ GROUP,,CÔNG TY TNHH DỆT MAY VTJ TOMS,Nhà Máy May,BP. Hoàn Tất,,,PPG,,FC_VIT,FC_VIT_11000,V11007,,,3699560
5f0578fddc89b71bdcd059af,ce5eb782-1b22-4e06-b389-0094bb5dc9d0,1507161d-0ab4-485d-be1a-25be7460b089,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,Khối Nghiệp Vụ,Phòng Nhân sự & Tuyển dụng,BP. VSCN,PPG,,PPJ,600000,620000,621000,621006,3699315
5f0578fddc89b71bdcd059b0,dc4c4427-9a7d-40dd-abfe-00a518dbd5a2,8159c54c-9a80-40a3-9755-1966fd186e30,PHONG PHÚ GROUP,,CÔNG TY TNHH DỆT MAY VTJ TOMS,Phòng Kế Toán,,,,PPG,,FC_VIT,FC_VIT_30000,,,,3699222
5f0578fddc89b71bdcd059b1,7f5a275c-ad8f-4cd3-b63c-00b92ad9969f,b6dfe6f3-92f4-4e98-9fd6-68b0310425bd,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Chi nhánh Long An - Công ty CPQT Phong Phú,NM May 2 (B1),Xưởng May,Chuyền 13,PPG,,PPJ,600000,FC_633000,633005,633145,3699842
5f0578fddc89b71bdcd059b2,234ee47b-1402-443a-8f8c-00bf07343b89,82c8bf0d-29a7-41cb-82e8-6ba79d02d879,PHONG PHÚ GROUP,,CÔNG TY CỔ PHẦN VINATEX QUỐC TẾ,Chi nhánh VTJ TP. Đà Nẵng,Nhà máy Dệt 1,Xưởng Dệt,Tổ Văn minh Công nghiệp,PPG,,VTJ,VTJÐN,581400,581430,581437,3699878
5f0578fddc89b71bdcd059b3,fa2681df-14d0-4e77-a214-00cfe75ebd8e,c5e30708-511e-476c-b10c-1577586516fe,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy may Jeans Xuất Khẩu,Chuyền may,Chuyền 13,,PPG,,PPJ,FC_230000,231000,231005B,,3699183
5f0578fddc89b71bdcd059b4,3fa52078-0200-4609-aa24-00ee47133de6,6159dab9-97b5-496b-a3c1-111fb0609ee9,PHONG PHÚ GROUP,,CÔNG TY CP QUỐC TẾ PHONG PHÚ,Nhà máy May Xuất Khẩu Phong Phú - Quảng Trị,Bộ phận Nhà ăn,,,PPG,,PPJ,FC_410000,411500,,,3699157
